# HR Saudi - Arabic Translations
# Format: "English","Arabic"

# App Info
"HR Saudi","إتش آر سعودي"
"Pending","قيد الانتظار"
"Approved","موافق عليه"
"Rejected","مرفوض"
"Low","منخفضة"
"Medium","متوسطة"
"High","عالية"
"Urgent","عاجلة"

# Fields - Document Expiry Tracker
"Document Type","نوع الوثيقة"
"Document Number","رقم الوثيقة"
"Issue Date","تاريخ الإصدار"
"Expiry Date","تاريخ الانتهاء"
"Days to Expiry","أيام حتى الانتهاء"
"Reminder Sent","تم إرسال التذكير"
"Last Reminder Date","تاريخ آخر تذكير"
"Passport","جواز السفر"
"Iqama","الإقامة"
"Work Permit","رخصة العمل"
"Health Certificate","الشهادة الصحية"
"Driving License","رخصة القيادة"
"Insurance","التأمين"
"Other","أخرى"
"Valid","ساري"
"Expiring Soon","ينتهي قريباً"
"Expired","منتهي"

# Fields - Labor Camp
"Camp Name","اسم المعسكر"
"Camp Code","رمز المعسكر"
"Capacity","السعة"
"Current Occupancy","الإشغال الحالي"
"Available Beds","الأسرة المتاحة"
"Camp Manager","مدير المعسكر"
"Address","العنوان"
"Contact Number","رقم الاتصال"
"City","المدينة"
"Under Maintenance","تحت الصيانة"

# Fields - Job Requisition
"Job Title","المسمى الوظيفي"
"Department","القسم"
"Expected Opening Date","تاريخ الافتتاح المتوقع"
"Number of Positions","عدد الوظائف"
"Employment Type","نوع التوظيف"
"Employee Grade","درجة الموظف"
"Salary Range From","الحد الأدنى للراتب"
"Salary Range To","الحد الأقصى للراتب"
"Required Skills","المهارات المطلوبة"
"Qualifications","المؤهلات"
"Experience Required","الخبرة المطلوبة"
"Education Requirements","متطلبات التعليم"
"Language Requirements","متطلبات اللغة"
"Hiring Manager","مدير التوظيف"
"Requested By","طلب من"
"A-Executive","أ-تنفيذي"
"B-Management","ب-إدارة"
"C-Professional","ج-مهني"
"D-Technical","د-فني"
"E-Skilled","ه-حرفي"
"F-Unskilled","و-غير حرفي"
"Open","مفتوح"
"In Progress","قيد التنفيذ"
"Filled","مملوء"
"Closed","مغلق"

# Fields - Job Requisition Skill
"Skill","المهارة"
"Proficiency","مستوى الإتقان"
"Beginner","مبتدئ"
"Intermediate","متوسط"
"Advanced","متقدم"
"Expert","خبير"

# Fields - Saudization Settings
"Company","الشركة"
"Activity Type","نوع النشاط"
"Nitaqat Category","فئة نطاقات"
"Target Saudi Ratio (%)","نسبة التوطين المستهدفة (%)"
"Minimum Required Saudi Employees","الحد الأدنى المطلوب من الموظفين السعوديين"
"Current Saudi Employees","الموظفين السعوديين الحاليين"
"Current Expat Employees","الموظفين الوافدين الحاليين"
"Current Saudi Ratio (%)","نسبة التوطين الحالية (%)"
"Compliance Status","حالة الامتثال"
"Last Updated","آخر تحديث"
"Saudization Plan","خطة التوطين"
"Warnings","تحذيرات"
"Hotels & Restaurants","الفنادق والمطاعم"
"Trading","التجارة"
"Manufacturing","التصنيع"
"Services","الخدمات"
"Platinum","بلاتيني"
"High Green","أخضر مرتفع"
"Mid Green","أخضر متوسط"
"Low Green","أخضر منخفض"
"Red","أحمر"
"Compliant","متوافق"
"Non-Compliant","غير متوافق"
"At Risk","في خطر"

# Custom Fields - Employee
"Passport Number","رقم جواز السفر"
"Passport Expiry Date","تاريخ انتهاء جواز السفر"
"Work Permit Number","رقم رخصة العمل"
"Work Permit Expiry","تاريخ انتهاء رخصة العمل"
"Health Certificate No","رقم الشهادة الصحية"
"Health Certificate Expiry","تاريخ انتهاء الشهادة الصحية"
"Employee Grade","درجة الموظف"
"Bed Number","رقم السرير"

# Custom Fields - Attendance
"Shift Type","نوع الوردية"
"Late Minutes","دقائق التأخير"
"OT Hours","ساعات العمل الإضافي"
"Source","المصدر"
"Biometric Device","جهاز البصمة"
"Mobile GPS","GPS الجوال"
"Manual","يدوي"
"System","النظام"

# Custom Fields - Salary Slip
"GOSI Employee Amount","مبلغ GOSI الموظف"
"GOSI Employer Amount","مبلغ GOSI صاحب العمل"
"WPS Batch","دفعة WPS"

# Custom Fields - Payroll Entry
"Leave empty to include all branches","اتركه فارغاً لتضمين جميع الفروع"
"Branch Cost Center","مركز تكلفة الفرع"

# Common
"Save","حفظ"
"Submit","إرسال"
"Cancel","إلغاء"
"Delete","حذف"
"Edit","تعديل"
"Create","إنشاء"
"Search","بحث"
"Filter","تصفية"
"Refresh","تحديث"
"Back","رجوع"
"Next","التالي"
"Previous","السابق"
"Close","إغلاق"
"Loading","جاري التحميل"
"Error","خطأ"
"Success","نجاح"
"Warning","تحذير"
"Information","معلومات"
"Are you sure?","هل أنت متأكد؟"
"Cannot undo this action","لا يمكن التراجع عن هذا الإجراء"
"Missing","مفقود"
"Required","مطلوب"
"Invalid","غير صالح"
"Duplicate","مكرر"
"Already exists","موجود بالفعل"
"Please select","الرجاء الاختيار"
"Please enter","الرجاء الإدخال"
"No data","لا توجد بيانات"
"No records found","لم يتم العثور على سجلات"
"Show more","عرض المزيد"
"Show less","عرض أقل"
"View","عرض"
"Print","طباعة"
"Export","تصدير"
"Import","استيراد"
"Upload","رفع"
"Download","تحميل"
"Attach","إرفاق"
"Remove","إزالة"
"Add","إضافة"
"Remove","حذف"
"Clear","مسح"
"Apply","تطبيق"
"Reset","إعادة تعيين"
"Select All","تحديد الكل"
"Deselect All","إلغاء تحديد الكل"
"Today","اليوم"
"Yesterday","أمس"
"Tomorrow","غداً"
"This Week","هذا الأسبوع"
"Last Week","الأسبوع الماضي"
"This Month","هذا الشهر"
"Last Month","الشهر الماضي"
"This Year","هذه السنة"
"Last Year","السنة الماضية"
"Custom","مخصص"
"From","من"
"To","إلى"
"Date","التاريخ"
"Time","الوقت"
"DateTime","التاريخ والوقت"
"Check In","تسجيل الدخول"
"Check Out","تسجيل الخروج"
"Attendance","الحضور"
"Present","حاضر"
"Absent","غائب"
"Half Day","نصف يوم"
"Late","متأخر"
"Early Departure","مغادرة مبكرة"
"Overtime","عمل إضافي"
"Leave","إجازة"
"Holiday","عطلة"
"Weekly Off","راحة أسبوعية"

# Scheduler & System
"Daily attendance generation","توليد الحضور اليومي"
"OT calculation","حساب العمل الإضافي"
"Document expiry checks","فحوصات انتهاء الوثائق"
"Saudization compliance updates","تحديثات امتثال التوطين"
"Biometric Bridge","جسر البصمة"
"Mobile Attendance","الحضور عبر الجوال"

# Workspace
"Saudi Operations","العمليات السعودية"
"Saudization","التوطين"
"Attendance & Devices","الحضور والأجهزة"
"Crew Management","إدارة الفرق"
"Compliance","الامتثال"
"Recruitment","التوظيف"
"Nitaqat Compliance","امتثال نطاقات"

# Subcontractor Management
"Subcontractor Worker","عامل مقاول من الباطن"
"Subcontractor Workers","عمال المقاولين من الباطن"
"Subcontractor Attendance","حضور المقاول من الباطن"
"Subcontractor Payroll","رواتب المقاولين من الباطن"
"Subcontractor Utilization","استخدام المقاولين من الباطن"
"Subcontractor Management","إدارة المقاولين من الباطن"
"Subcontractor Reports","تقارير المقاولين من الباطن"
"Trade","الحرفة"
"Mason","بناء"
"Carpenter","نجار"
"Steel Fixer","حداد تسليح"
"Electrician","كهربائي"
"Plumber","سباك"
"Painter","دهان"
"Helper","مساعد"
"Driver","سائق"
"Operator","مشغل"
"Other","أخرى"
"Daily Rate","الأجر اليومي"
"Overtime Rate","أجر العمل الإضافي"
"Mobilization Date","تاريخ التعبئة"
"Demobilization Date","تاريخ التسريح"
"Assigned Project","المشروع المعين"
"Assigned Site","الموقع المعين"
"Supervisor","المشرف"
"ID / Iqama Number","رقم الهوية / الإقامة"
"ID Expiry Date","تاريخ انتهاء الهوية"
"Check In","تسجيل الدخول"
"Check Out","تسجيل الخروج"
"Working Hours","ساعات العمل"
"Overtime Hours","ساعات العمل الإضافي"
"Source","المصدر"
"Manual","يدوي"
"Biometric","بصمة"
"Mobile GPS","GPS الجوال"
"Present Days","أيام الحضور"
"Absent Days","أيام الغياب"
"Total Hours","إجمالي الساعات"
"Regular Amount","المبلغ العادي"
"Overtime Amount","مبلغ العمل الإضافي"
"Total Amount","إجمالي المبلغ"
"Grand Total","الإجمالي الكلي"
"Total Workers","إجمالي العمال"
"Total Present Days","إجمالي أيام الحضور"
"Total Absent Days","إجمالي أيام الغياب"
"Total Regular Amount","إجمالي المبلغ العادي"
"Total Overtime Amount","إجمالي مبلغ العمل الإضافي"

# Payroll Cost Distribution
"Payroll Cost Distribution","توزيع تكلفة الرواتب"
"Payroll Cost Distributions","توزيعات تكلفة الرواتب"
"Payroll Cost Distribution Center","مركز توزيع تكلفة الرواتب"
"Cost Center Allocation","تخصيص مركز التكلفة"
"Cost Center","مركز التكلفة"
"Project","المشروع"
"Employee Count","عدد الموظفين"
"Percentage","النسبة المئوية"
"Gross Pay","إجمالي الراتب"
"Deductions","الاستقطاعات"
"Net Pay","صافي الراتب"
"GOSI Employee","التأمينات - الموظف"
"GOSI Employer","التأمينات - صاحب العمل"
"Total Employees","إجمالي الموظفين"
"Total Gross Pay","إجمالي الرواتب"
"Total Deductions","إجمالي الاستقطاعات"
"Total Net Pay","إجمالي صافي الرواتب"
"Payroll Distribution","توزيع الرواتب"
"Branch Transfer","نقل فرع"
"Project Transfer","نقل مشروع"
"Department Transfer","نقل قسم"
"Temporary Assignment","تعيين مؤقت"

# Internal Transfer
"Internal Transfer","نقل داخلي"
"Internal Transfers","النقلات الداخلية"
"Internal Transfer Clearance","تخليص النقل الداخلي"
"Transfer Details","تفاصيل النقل"
"Transfer Date","تاريخ النقل"
"Transfer Type","نوع النقل"
"From Branch","من الفرع"
"From Department","من القسم"
"From Project","من المشروع"
"From Cost Center","من مركز التكلفة"
"To Branch","إلى الفرع"
"To Department","إلى القسم"
"To Project","إلى المشروع"
"To Cost Center","إلى مركز التكلفة"
"Reason for Transfer","سبب النقل"
"Approved By","وافق عليه"
"Approval Date","تاريخ الموافقة"
"Clearance Checklist","قائمة التخليص"
"Task","المهمة"
"Department","القسم"
"Status","الحالة"
"Remarks","ملاحظات"
"Cleared By","خلصه"
"Cleared On","خلص في"
"Pending Approval","بانتظار الموافقة"
"Approved","موافق عليه"
"Rejected","مرفوض"
"Completed","مكتمل"
"Pending","معلق"
"Cleared","مخلص"
"Not Required","غير مطلوب"
"IT Equipment Return","إرجاع معدات IT"
"ID Card / Access Card Return","إرجاع بطاقة الهوية / الدخول"
"Uniform Return","إرجاع الزي الرسمي"
"Accommodation Clearance","تخليص السكن"
"Salary Advance Settlement","تسوية سلفة الراتب"
"Tool/Equipment Handover","تسليم الأدوات / المعدات"
"Project Handover","تسليم المشروع"

# Employee Custody
"Employee Custody","عهد الموظف"
"Employee Custodies","عهد الموظفين"
"Custody Type","نوع العهد"
"Custody Types","أنواع العهد"
"Custody Item","صنف العهد"
"Custody Items","أصناف العهد"
"Employee Custody Summary","ملخص عهد الموظف"
"Custody Management","إدارة العهد"
"Custody ID","رقم العهد"
"Custody Date","تاريخ العهد"
"Issued","مصروف"
"Partially Returned","مرتجع جزئياً"
"Fully Returned","مرتجع كلياً"
"Lost/Damaged","مفقود/تالف"
"Issued By","مصروف بواسطة"
"Issued To","مصروف لـ"
"Employee Signature","توقيع الموظف"
"Acknowledgement Date","تاريخ الاستلام"
"Return Details","تفاصيل الإرجاع"
"Return Date","تاريخ الإرجاع"
"Return Condition","حالة الإرجاع"
"Returned - Good","مرتجع - جيد"
"Returned - Damaged","مرتجع - تالف"
"Returned - Lost","مرتجع - مفقود"
"Not Returned","لم يرتجع"
"Item Code","رمز الصنف"
"Item Name","اسم الصنف"
"Serial Number","الرقم التسلسلي"
"Quantity","الكمية"
"Condition","الحالة"
"New","جديد"
"Good","جيد"
"Fair","مقبول"
"Poor","رديء"
"Estimated Value","القيمة التقديرية"
"Total Estimated Value","إجمالي القيمة التقديرية"
"Item Count","عدد الأصناف"
